outcome	halfmissing	no_tests	no_studies	between_study_var	between_test_cor	no_part_per_study	deviation_size	no_deviations	correc	prop_sig
fwer	FALSE	1	1	0	0	10	0	0	max	0.134
fwer	FALSE	1	1	0	0	10	0	0	stepwise	0.134
fwer	FALSE	1	1	0	0	10	0	0	uncor	0.134
fwer	FALSE	1	1	0	0	10	0	0	bonf	0.134
fwer	TRUE	2	1	0	0	10	0	0	max	0.311
fwer	TRUE	2	1	0	0	10	0	0	stepwise	0.311
fwer	TRUE	2	1	0	0	10	0	0	uncor	0.367
fwer	TRUE	2	1	0	0	10	0	0	bonf	0.342
fwer	FALSE	2	1	0	0	10	0	0	max	0.185
fwer	FALSE	2	1	0	0	10	0	0	stepwise	0.185
fwer	FALSE	2	1	0	0	10	0	0	uncor	0.252
fwer	FALSE	2	1	0	0	10	0	0	bonf	0.222
fwer	TRUE	3	1	0	0	10	0	0	max	0.372
fwer	TRUE	3	1	0	0	10	0	0	stepwise	0.372
fwer	TRUE	3	1	0	0	10	0	0	uncor	0.472
fwer	TRUE	3	1	0	0	10	0	0	bonf	0.435
fwer	FALSE	3	1	0	0	10	0	0	max	0.199
fwer	FALSE	3	1	0	0	10	0	0	stepwise	0.199
fwer	FALSE	3	1	0	0	10	0	0	uncor	0.326
fwer	FALSE	3	1	0	0	10	0	0	bonf	0.269
fwer	TRUE	5	1	0	0	10	0	0	max	0.497
fwer	TRUE	5	1	0	0	10	0	0	stepwise	0.497
fwer	TRUE	5	1	0	0	10	0	0	uncor	0.658
fwer	TRUE	5	1	0	0	10	0	0	bonf	0.62
fwer	FALSE	5	1	0	0	10	0	0	max	0.266
fwer	FALSE	5	1	0	0	10	0	0	stepwise	0.266
fwer	FALSE	5	1	0	0	10	0	0	uncor	0.497
fwer	FALSE	5	1	0	0	10	0	0	bonf	0.409
fwer	TRUE	15	1	0	0	10	0	0	max	0.813
fwer	TRUE	15	1	0	0	10	0	0	stepwise	0.813
fwer	TRUE	15	1	0	0	10	0	0	uncor	0.964
fwer	TRUE	15	1	0	0	10	0	0	bonf	0.943
fwer	FALSE	15	1	0	0	10	0	0	max	0.472
fwer	FALSE	15	1	0	0	10	0	0	stepwise	0.472
fwer	FALSE	15	1	0	0	10	0	0	uncor	0.864
fwer	FALSE	15	1	0	0	10	0	0	bonf	0.768
fwer	TRUE	24	1	0	0	10	0	0	max	0.918
fwer	TRUE	24	1	0	0	10	0	0	stepwise	0.918
fwer	TRUE	24	1	0	0	10	0	0	uncor	0.991
fwer	TRUE	24	1	0	0	10	0	0	bonf	0.984
fwer	FALSE	24	1	0	0	10	0	0	max	0.524
fwer	FALSE	24	1	0	0	10	0	0	stepwise	0.524
fwer	FALSE	24	1	0	0	10	0	0	uncor	0.957
fwer	FALSE	24	1	0	0	10	0	0	bonf	0.901
fwer	TRUE	50	1	0	0	10	0	0	max	0.997
fwer	TRUE	50	1	0	0	10	0	0	stepwise	0.997
fwer	TRUE	50	1	0	0	10	0	0	uncor	1
fwer	TRUE	50	1	0	0	10	0	0	bonf	1
fwer	FALSE	50	1	0	0	10	0	0	max	0.74
fwer	FALSE	50	1	0	0	10	0	0	stepwise	0.74
fwer	FALSE	50	1	0	0	10	0	0	uncor	0.997
fwer	FALSE	50	1	0	0	10	0	0	bonf	0.991
fwer	FALSE	1	2	0	0	10	0	0	max	0.093
fwer	FALSE	1	2	0	0	10	0	0	stepwise	0.093
fwer	FALSE	1	2	0	0	10	0	0	uncor	0.093
fwer	FALSE	1	2	0	0	10	0	0	bonf	0.093
fwer	TRUE	2	2	0	0	10	0	0	max	0.22
fwer	TRUE	2	2	0	0	10	0	0	stepwise	0.22
fwer	TRUE	2	2	0	0	10	0	0	uncor	0.241
fwer	TRUE	2	2	0	0	10	0	0	bonf	0.217
fwer	FALSE	2	2	0	0	10	0	0	max	0.098
fwer	FALSE	2	2	0	0	10	0	0	stepwise	0.098
fwer	FALSE	2	2	0	0	10	0	0	uncor	0.167
fwer	FALSE	2	2	0	0	10	0	0	bonf	0.123
fwer	TRUE	3	2	0	0	10	0	0	max	0.229
fwer	TRUE	3	2	0	0	10	0	0	stepwise	0.229
fwer	TRUE	3	2	0	0	10	0	0	uncor	0.315
fwer	TRUE	3	2	0	0	10	0	0	bonf	0.267
fwer	FALSE	3	2	0	0	10	0	0	max	0.126
fwer	FALSE	3	2	0	0	10	0	0	stepwise	0.126
fwer	FALSE	3	2	0	0	10	0	0	uncor	0.256
fwer	FALSE	3	2	0	0	10	0	0	bonf	0.18
fwer	TRUE	5	2	0	0	10	0	0	max	0.278
fwer	TRUE	5	2	0	0	10	0	0	stepwise	0.278
fwer	TRUE	5	2	0	0	10	0	0	uncor	0.47
fwer	TRUE	5	2	0	0	10	0	0	bonf	0.378
fwer	FALSE	5	2	0	0	10	0	0	max	0.162
fwer	FALSE	5	2	0	0	10	0	0	stepwise	0.162
fwer	FALSE	5	2	0	0	10	0	0	uncor	0.399
